id;start_date;end_date;language
1;2025-05-28T15:17:57;2025-05-28T14:14:05;FRENCH
2;2025-05-27T21:50:13;2025-05-28T14:59:42;FRENCH
3;2025-05-28T12:14:19;2025-05-28T07:05:02;FRENCH
4;2025-05-28T12:31:00;2025-05-28T11:03:01;FRENCH
5;2025-05-28T05:27:01;2025-05-27T21:11:48;SPANISH
6;2025-05-28T08:12:30;2025-05-28T04:29:38;SPANISH
7;2025-05-28T07:33:07;2025-05-28T02:26:07;SPANISH
8;2025-05-27T21:01:29;2025-05-28T08:44:18;SPANISH
9;2025-05-27T19:00:48;2025-05-27T22:57:40;FRENCH
10;2025-05-28T05:18:13;2025-05-27T20:48:36;SPANISH
