id;street_address;postal_code;city;state_province
1;behind where likely;ew underpants evenly;Sauermouth;if
2;pish very retool;unlike after amongst;Arvada;unethically
3;honored needy next;tremendously healthily trusting;West Angelinaburgh;disloyal commemorate obtrude
4;potable about tenant;whenever;Youngstown;cannon hm pointed
5;warmly ack gosh;afore squirm;Woodland;overdub trek
6;er tenderly oof;although;Gusikowskiport;regarding bah
7;below loaf mid;lieu often lest;Tamiami;randomize unnaturally
8;unto truthfully;around disk mysterious;Westfield;a grandiose
9;birdbath deck following;indeed charming drat;Lake Arashire;expert yuck
10;snappy;censor;Lake Darenville;duh
